id,pmid,pmcid,doi,sentence,batch_name,sentence_id,out_of_scope,structure_1,structure_2,url,annotation_id,orcid
1,,,,This connection is not aacar5.  It looks like an error of some sort. This is annotated using orcid id:0000-0002-8406-3871. This annotation can be viewed in https://mapcore-demo.org/current/flatmap/v3/annotator/download/5. This is annotated on ilxtr:neuron-type-aacar-5. This annotation was created on NCBITaxon:10114.,prd_1,1,no,ilxtr:neuron-type-aacar-5,,,https://mapcore-demo.org/current/flatmap/v3/annotator/download/5,0000-0002-8406-3871
2,,,,We have to check the central projections of aacar13 as they are not rendering consistently or correctly. This is annotated using orcid id:0000-0002-8406-3871. This annotation can be viewed in https://mapcore-demo.org/current/flatmap/v3/annotator/download/4. This is annotated on ilxtr:neuron-type-aacar-13. This annotation was created on NCBITaxon:10114.,prd_1,2,no,ilxtr:neuron-type-aacar-13,,,https://mapcore-demo.org/current/flatmap/v3/annotator/download/4,0000-0002-8406-3871
